title,company,location,link
인사 / 기획 / 총무 관련 멀티플레이어 모집,에스티엑스건설,부산,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37896421&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[정규직]하나마이크론(주) 반도체 생산직 신입/경력 모집 (04월),하나마이크론㈜,충남,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37987413&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"[젠틀몬스터] 아시아권 브랜딩 기획, 마케팅 담당자 채용",(주)아이아이컴바인드,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37921567&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[에이제이- 서울 강남 위치] 구매팀 채용 공고,에이제이(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37904418&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
식각 및 ITO 생산직 및 검사원 사원 모집,(주)아바텍,경북,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37915805&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
제조·가공/생산 정규직 채용 - 경력무관,울산엔지니어링,울산,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37842789&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
HR/경영지원팀장/인사총무총괄/채용관리/직원교육/임금관리/재무,(주)쿨앤쿨,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37868626&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"생산·제조·포장·조립(생산, 조립) 모집 공고",삼기산업(주),울산,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37875475&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[잠실역/주5일/본사] 쿠팡 사무보조 대규모 채용 -정규직 전환,에이스휴먼파워(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37961617&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[메가존] Business Group 직무별 채용,메가존(주),서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37757273&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[취업연수 국비교육]자바/파이썬/빅데이터/웹/영상/건축,㈜이젠아카데미인재개발원,서울전체,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=36825236&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"[금융] 파이썬 기반 AI 플랫폼 개발/고급/상암,즉시(협의)",(주)지티씨솔루션,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38061439&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"신입 프로그래머, 파이썬, C++, 소프트웨어",(주)시정,대전,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37988329&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"유니티, 파이썬 관련 프리랜서 구해요",(주)케이엘피,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38096332&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"자바, C#, 파이썬 개발자 및 데이터사이언티스트 모집",(주)비카누스,경기,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38079720&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[교육비 전액무료 교육] 자바 파이썬 R을 활용한 빅데이터 분석과정,(주)솔데스크,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38015804&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"개발자 채용 (프론트 백엔드) / 리액트, 파이썬 (정규직,계약직)",데이터플로,서울,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38031874&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬 개발자 (계약/정규/파트 자유),(주)제이어스,대전,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=38068257&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
